Post_ID,Account_No,Post_Type,Date,Time,Caption,Likes,Comments,Shares,Views,Duration_Played,Hashtags,Followers_at_Post_Time
1,account_24,Static_Image,05-01-2024,21:01:32,How to grow your brand on a budget.,4851,433,173,37788,,#BusinessGrowth #EntrepreneurLife,9548
2,account_40,Static_Image,08-01-2024,22:26:26,Top 3 superfoods you should include in your diet.,1168,193,149,21372,,#MentalHealthMatters #Wellness,13744
3,account_29,Reel,13-01-2024,17:01:53,The top 3 coding tools to boost your productivity.,3148,39,170,11377,67%,#CodeNewbie #Programming,11766
4,account_18,Reel,16-01-2024,14:47:04,Exploring the world of coding with insights and ideas,3100,249,181,30511,64%,#CyberSecurity #Robotics,9616
5,account_30,Carousel,20-01-2024,04:53:01,The secret to flavorful and healthy meals.,3408,444,214,9630,,#HealthyMeals #DeliciousEats,12408
7,account_40,Reel,26-01-2024,17:34:51,Exploring the world of robotics with insights and ideas,3403,142,22,11671,87%,#MachineLearning #NLP,17910
8,account_20,Reel,29-01-2024,09:05:49,Exploring the world of artificial intelligence with insights and ideas,1879,373,219,48233,75%,#AIandML #TechLife,19714
9,account_12,Reel,01-02-2024,18:08:13,How to use GitHub like a pro.,8795,217,96,42441,62%,#GitHubTips #DevCommunity,20888
10,account_8,Carousel,04-02-2024,10:27:28,AI vs Human Intelligence: Who wins?,6626,275,174,17337,,#FutureOfAI #Technology,17595
11,account_17,Reel,06-02-2024,16:37:57,How to master the art of meal prepping.,8614,336,91,13021,55%,#CookingTips #HomeChef,21573
13,account_31,Static_Image,15-02-2024,22:55:37,Exploring the world of AI ethics with insights and ideas,4048,145,266,23206,,#CyberSecurity #AIInnovation,20835
14,account_1,Carousel,17-02-2024,17:00:41,Unveiling the magic of Natural Language Processing.,365,23,295,691,,#NLPBasics #AIForBeginners,20200
15,account_14,Reel,21-02-2024,21:23:45,Quick and easy recipes for busy days.,7449,359,58,44354,95%,#MealPrepIdeas #QuickRecipes,16988
16,account_16,Reel,24-02-2024,20:10:09,Discover new ways to enhance your business journey,4355,354,55,10041,99%,#BusinessMindset #CookingTips,20860
17,account_31,Reel,26-02-2024,21:23:56,Let's capture the beauty of technology and create unforgettable experiences!,9706,283,70,16645,86%,#technology #influencer,21064
18,account_50,Reel,02-03-2024,06:22:44,Let's celebrate the power of sports and create unforgettable moments!,403,94,72,30429,74%,#sports #influencer,21373
19,account_6,Reel,04-03-2024,08:26:59,Exploring the world of machine learning with insights and ideas,2031,406,204,32695,82%,#Automation #AIRevolution,19829
20,account_43,Reel,09-03-2024,01:42:44,Discover new ways to enhance your work-life balance journey,7550,374,114,32942,77%,#CulinarySkills #StartupHustle,22007
22,account_47,Reel,11-03-2024,13:32:54,Let's unveil hidden gems of art and create unforgettable dreams!,8846,56,49,29829,73%,#art #influencer,26129
24,account_4,Reel,17-03-2024,23:24:32,Discover new ways to enhance your culinary tips journey,6618,61,283,48560,66%,#BusinessMindset #LifestyleGoals,24388
25,account_33,Static_Image,22-03-2024,00:29:56,Let's enhance the beauty of gaming and create unforgettable stories!,723,344,229,31252,,#gaming #influencer,23371
26,account_16,Carousel,27-03-2024,07:12:30,Exploring the world of innovations with insights and ideas,2061,482,108,30285,,#Automation #ProgrammingLife,28067
28,account_20,Static_Image,04-04-2024,20:53:50,Exploring the world of tech trends with insights and ideas,2575,484,192,37118,,#NLP #CyberSecurity,28785
29,account_22,Static_Image,09-04-2024,17:12:17,Exploring the world of automation with insights and ideas,5530,328,168,20846,,#TechLife #NLP,29717
30,account_23,Reel,11-04-2024,19:10:58,Let's capture hidden gems of gaming and create unforgettable visions!,9948,335,212,23111,91%,#gaming #influencer,27505
32,account_38,Static_Image,19-04-2024,19:43:17,Simple exercises to stay fit at home.,9562,322,96,29453,,#HealthyLiving #FitnessGoals,31787
33,account_21,Static_Image,23-04-2024,05:24:54,Discover new ways to enhance your personal finance journey,6054,68,280,9261,,#RecipeIdeas #FinanceTips,27811
35,account_10,Reel,27-04-2024,21:51:34,Let's capture the world of fitness challenges and create unforgettable dreams!,6277,204,163,48488,87%,#fitnesschallenges #influencer,24888
36,account_30,Static_Image,28-04-2024,08:56:45,The future of autonomous technology and AI.,1259,329,34,19139,,#AutonomousTech #FutureAI,23072
39,account_38,Reel,05-05-2024,05:07:22,3 classic dishes with a modern twist.,5952,469,194,23723,60%,#HealthyMeals #DeliciousEats,24440
42,account_35,Reel,13-05-2024,20:48:00,Exploring the ethical challenges of Artificial Intelligence.,691,52,81,4633,81%,#AIChallenges #EthicsInTech,25381
43,account_14,Static_Image,17-05-2024,15:28:46,Let's unveil the power of gaming and create unforgettable experiences!,8048,446,295,48480,,#gaming #influencer,30336
44,account_43,Reel,22-05-2024,04:04:24,Let's embrace hidden gems of fitness and create unforgettable creations!,3737,342,32,23966,61%,#fitness #influencer,35065
45,account_14,Reel,25-05-2024,11:56:24,Discover new ways to enhance your lifestyle journey,3175,58,41,6991,51%,#BusinessMindset #CulinarySkills,30914
51,account_14,Static_Image,07-06-2024,07:14:34,Discover new ways to enhance your cooking journey,7835,453,179,42579,,#WorkLifeBalance #RecipeIdeas,28075
54,account_32,Static_Image,10-06-2024,09:34:31,How machine learning is shaping the future of technology.,9084,94,162,22046,,#DeepLearning #MLPipeline,21375
55,account_38,Reel,15-06-2024,23:43:29,Discover new ways to enhance your home cooking journey,8498,413,134,27711,90%,#FinanceTips #StartupHustle,22083
56,account_13,Reel,18-06-2024,20:42:30,Exploring the world of neural networks with insights and ideas,1801,412,51,30396,69%,#SoftwareDevelopment #AITrends,18482
57,account_20,Carousel,21-06-2024,21:41:03,Let's master the magic of art and create unforgettable stories!,5867,300,204,8157,,#art #influencer,21828
58,account_49,Reel,22-06-2024,15:48:51,Let's ignite the world of leadership and create unforgettable creations!,5304,244,20,32314,87%,#leadership #influencer,18457
59,account_1,Static_Image,25-06-2024,01:46:45,Let's unveil the magic of nature and create unforgettable inspiration!,4717,150,293,16344,,#nature #influencer,17898
61,account_22,Static_Image,30-06-2024,07:54:02,Let's master a journey through self-care and create unforgettable moments!,6365,166,284,22649,,#self-care #influencer,20811
62,account_34,Reel,02-07-2024,19:16:00,Let's capture the beauty of history and create unforgettable memories!,945,94,235,2602,79%,#history #influencer,23664
64,account_36,Reel,10-07-2024,15:00:05,How to interpret confusion matrices in classification problems.,9478,310,261,32361,96%,#MLForEveryone #AIAdvancements,24536
65,account_9,Carousel,14-07-2024,03:40:00,How to scale your small business effectively.,3159,123,194,46807,,#StartUpTips #BizSuccess,25964
66,account_23,Carousel,18-07-2024,13:12:31,Exploring the applications of convolutional neural networks.,7896,470,129,8583,,#MLForEveryone #AIAdvancements,23680
67,account_47,Static_Image,21-07-2024,12:03:41,Discover new ways to enhance your health and wellness journey,2504,197,221,16737,,#PersonalGrowth #HealthyLiving,28601
69,account_44,Reel,30-07-2024,17:12:31,Exploring the world of programming with insights and ideas,6520,385,220,26762,52%,#Robotics #AIInnovation,27693
71,account_29,Static_Image,08-08-2024,08:48:26,Exploring the world of software development with insights and ideas,6510,219,157,36812,,#CodingCommunity #AIInnovation,29035
72,account_20,Carousel,13-08-2024,09:51:42,Let's master the magic of entrepreneurship and create unforgettable moments!,3214,252,44,36145,,#entrepreneurship #influencer,27904
77,account_17,Carousel,26-08-2024,15:04:13,Discover new ways to enhance your entrepreneurship journey,5840,424,72,28573,,#Foodie #EntrepreneurLife,26468
79,account_39,Reel,01-09-2024,16:35:20,Let's ignite a journey through mindfulness and create unforgettable inspiration!,9628,76,146,9780,75%,#mindfulness #influencer,25994
81,account_3,Carousel,08-09-2024,14:05:16,Let's capture the beauty of technology and create unforgettable creations!,6745,458,100,24931,,#technology #influencer,26289
82,account_37,Carousel,12-09-2024,13:36:07,Let's dive into a journey through science and create unforgettable stories!,9669,451,208,29153,,#science #influencer,22523
85,account_37,Reel,22-09-2024,07:18:44,5 programming languages every coder should know!,5556,310,30,31463,84%,#CodingLife #DevTips,18105
87,account_40,Reel,28-09-2024,17:45:03,Let's enhance the world of nature and create unforgettable experiences!,5464,106,127,23263,89%,#nature #influencer,19995
88,account_6,Static_Image,29-09-2024,14:34:09,"Declutter your space, declutter your mind.",7981,423,23,36543,,#WorkLifeBalance #LifeHacks,18429
90,account_12,Reel,06-10-2024,22:09:53,Understanding the basics of supervised learning.,4943,95,75,26144,71%,#MachineLearning #AI,16820
91,account_44,Static_Image,11-10-2024,16:59:05,How machine learning is advancing medical diagnostics.,4758,398,15,42228,,#DataScience #LearnML,13961
92,account_9,Static_Image,14-10-2024,14:42:13,Building your first app: Step-by-step tutorial.,1458,211,108,16975,,#AppDevelopment #DevJourney,13492
97,account_18,Carousel,30-10-2024,23:39:36,Exploring the world of cybersecurity with insights and ideas,3556,344,176,33624,,#AITrends #AIandML,19591
105,account_5,Carousel,24-11-2024,19:59:55,Exploring the world of data science with insights and ideas,143,111,89,870,,#Robotics #DataScience,23004
106,account_12,Reel,27-11-2024,11:58:14,How to choose the right algorithm for your ML project.,7923,390,194,44137,70%,#MLTips #AIForBeginners,19054
107,account_48,Static_Image,28-11-2024,14:13:57,Let's master the power of history and create unforgettable dreams!,5105,100,136,26170,,#history #influencer,22559
109,account_20,Static_Image,04-12-2024,09:19:27,Mastering algorithms made simple!,9463,439,185,37333,,#AlgorithmMastery #CodeTips,25668
110,account_15,Carousel,06-12-2024,16:24:38,Let's dive into the power of innovation and create unforgettable stories!,2641,331,117,4042,,#innovation #influencer,26290
114,account_27,Static_Image,16-12-2024,09:24:15,Let's explore hidden gems of culture and create unforgettable memories!,9263,256,195,14403,,#culture #influencer,27689
118,account_40,Reel,31-12-2024,01:54:46,How AI is transforming the tech industry.,4692,249,217,10374,93%,#TechInnovation #AI,25860
124,account_16,Carousel,23-01-2025,08:00:50,The applications of generative adversarial networks (GANs).,713,236,11,11564,,#MLAlgorithms #DataDriven,18912
125,account_21,Reel,25-01-2025,23:02:39,Let's transform the world of automobile and create unforgettable experiences!,1932,421,41,26357,81%,#automobile #influencer,19739
127,account_38,Carousel,31-01-2025,17:14:05,Let's master hidden gems of diy and create unforgettable memories!,6968,423,294,12331,,#diy #influencer,28071
128,account_27,Carousel,04-02-2025,21:59:17,Let's transform hidden gems of art and create unforgettable experiences!,5987,236,96,6974,,#art #influencer,31830
130,account_38,Carousel,12-02-2025,08:10:14,Discover new ways to enhance your recipes journey,1987,247,47,24336,,#LifestyleGoals #EntrepreneurLife,32064
131,account_3,Static_Image,16-02-2025,11:25:45,How AI is changing content creation forever.,5192,463,109,40334,,#ContentWithAI #TechWorld,30387
134,account_29,Static_Image,21-02-2025,00:20:38,How reinforcement learning is used in robotics.,8214,336,295,15925,,#DeepLearning #MLPipeline,34371
138,account_25,Reel,06-03-2025,17:09:20,Let's ignite the power of productivity and create unforgettable inspiration!,4801,179,256,46632,68%,#productivity #influencer,33491
139,account_50,Static_Image,10-03-2025,22:01:04,How to deploy ML models using cloud platforms.,9548,106,61,23118,,#DataScience #LearnML,30892
140,account_3,Static_Image,12-03-2025,14:02:04,Let's ignite the power of culture and create unforgettable adventures!,874,434,221,17122,,#culture #influencer,29244
143,account_41,Carousel,23-03-2025,00:02:27,Exploring the world of natural language processing with insights and ideas,4367,169,243,29004,,#AITrends #DataScience,29616
144,account_41,Static_Image,28-03-2025,05:27:46,Let's master the world of culture and create unforgettable inspiration!,1953,115,226,2840,,#culture #influencer,29553
148,account_22,Static_Image,08-04-2025,09:28:12,Let's dive into a journey through finance and create unforgettable memories!,9322,271,251,16591,,#finance #influencer,34709
149,account_46,Carousel,12-04-2025,16:16:58,The power of networking in business success.,6479,166,99,38894,,#NetworkingMatters #BusinessStrategy,34116
151,account_28,Reel,16-04-2025,00:41:08,Exploring the world of technology with insights and ideas,2820,124,186,9410,85%,#AITrends #NLP,36272
157,account_48,Reel,03-05-2025,22:39:40,Let's ignite a journey through volunteering and create unforgettable stories!,2579,300,119,25451,72%,#volunteering #influencer,26740
159,account_26,Reel,13-05-2025,11:40:13,Breaking down the basics of neural networks in under 2 minutes.,3347,124,226,19238,99%,#ArtificialIntelligence #MachineLearning,27212
161,account_38,Static_Image,17-05-2025,18:06:42,Let's explore a journey through fitness and create unforgettable stories!,5606,341,191,36372,,#fitness #influencer,22769
162,account_28,Reel,20-05-2025,10:03:52,Latest trends in Artificial Intelligence you need to know.,6926,75,46,40982,80%,#AITrends #TechBuzz,25348
165,account_19,Reel,29-05-2025,22:38:21,Let's capture the power of charity and create unforgettable experiences!,8951,320,12,18006,75%,#charity #influencer,23013
171,account_29,Carousel,16-06-2025,13:53:15,Let's embrace a journey through travel and create unforgettable creations!,5282,168,99,48707,,#travel #influencer,23943
176,account_22,Carousel,28-06-2025,22:30:55,The role of data in shaping AI advancements.,4174,196,227,26967,,#DataScience #AIAdvancements,33706
177,account_33,Carousel,03-07-2025,21:17:54,Let's capture hidden gems of adventure and create unforgettable visions!,349,20,212,15439,,#adventure #influencer,37030
179,account_38,Carousel,07-07-2025,08:33:31,Baking 101: Tips for perfect cakes.,1850,124,141,19942,,#BakingHacks #CookingGoals,38267
182,account_26,Carousel,17-07-2025,18:04:09,How to find joy in the little things.,5890,445,21,49689,,#SimpleLiving #MindfulMoments,39943
189,account_8,Reel,01-08-2025,11:49:56,Why coding is a must-have skill in today's world.,704,297,99,45646,80%,#CodeSkills #TechSkills,38023
192,account_27,Static_Image,06-08-2025,16:40:44,How to maintain a balanced diet effortlessly.,8832,118,60,41756,,#HealthyLiving #FitnessGoals,34697
200,account_3,Static_Image,27-08-2025,12:43:33,Let's capture the world of photography and create unforgettable memories!,8098,423,264,13327,,#photography #influencer,50430
202,account_31,Static_Image,01-09-2025,02:57:40,Let's dive into hidden gems of mindfulness and create unforgettable dreams!,7558,124,296,20126,,#mindfulness #influencer,51498
205,account_24,Carousel,10-09-2025,14:14:11,How ML is used in predictive maintenance.,3617,213,278,35274,,#DeepLearning #MLPipeline,45339
212,account_37,Static_Image,01-10-2025,02:47:18,Let's embrace hidden gems of health and create unforgettable adventures!,7344,166,193,33791,,#health #influencer,47903
213,account_17,Reel,05-10-2025,14:30:53,The importance of mental health in daily life.,2733,158,99,31385,63%,#Superfoods #StayFit,44747
215,account_6,Carousel,11-10-2025,19:52:36,Let's unveil hidden gems of sports and create unforgettable experiences!,8266,233,136,15339,,#sports #influencer,49268
218,account_12,Reel,23-10-2025,15:37:16,Machine learning explained with simple examples.,5710,425,39,21938,76%,#AIForEveryone #LearnML,48357
219,account_25,Reel,26-10-2025,10:43:30,Let's capture the magic of gaming and create unforgettable possibilities!,9066,476,93,15296,70%,#gaming #influencer,46598
220,account_32,Carousel,30-10-2025,01:23:00,Let's master the power of finance and create unforgettable stories!,7510,89,268,36367,,#finance #influencer,41611
222,account_37,Carousel,01-11-2025,17:05:00,Let's explore the magic of animals and create unforgettable visions!,5033,284,143,26062,,#animals #influencer,39126
223,account_13,Carousel,04-11-2025,11:42:43,Let's enhance the beauty of environment and create unforgettable adventures!,4239,342,157,39375,,#environment #influencer,36589
226,account_38,Carousel,14-11-2025,14:25:26,Exploring the future of AI and its impact on our lives.,7523,343,41,45000,,#AI #TechTalk,30309
230,account_49,Carousel,25-11-2025,07:24:22,Let's unveil a journey through movies and create unforgettable moments!,8120,209,104,26287,,#movies #influencer,19433
234,account_16,Static_Image,05-12-2025,04:10:25,Let's capture a journey through beauty and create unforgettable inspiration!,3624,245,42,5903,,#beauty #influencer,22494
237,account_26,Carousel,17-12-2025,22:20:59,What is overfitting and how can you avoid it?,4061,130,27,27185,,#DeepLearning #MLPipeline,23767
240,account_45,Carousel,25-12-2025,15:05:37,Let's transform the beauty of health and create unforgettable inspiration!,9467,49,191,13117,,#health #influencer,17860
244,account_22,Static_Image,06-01-2026,09:11:43,Top datasets to kickstart your ML projects.,4391,489,102,32568,,#MLBasics #TechInnovation,24472
245,account_16,Carousel,11-01-2026,01:28:03,Let's enhance the world of interior design and create unforgettable experiences!,6210,103,99,48834,,#interiordesign #influencer,25602
246,account_36,Static_Image,12-01-2026,16:40:04,Let's unveil a journey through fitness and create unforgettable adventures!,2862,245,291,4204,,#fitness #influencer,21152
251,account_46,Reel,28-01-2026,10:33:33,Top strategies for starting your own business.,3519,201,99,41503,96%,#StartUpTips #BizSuccess,16773
258,account_24,Carousel,23-02-2026,00:28:12,How neural networks mimic the human brain.,457,269,268,3229,,#MLAlgorithms #DataDriven,21695
259,account_18,Static_Image,26-02-2026,16:28:49,Entrepreneurship 101: Tips for beginners.,5784,235,245,45475,,#ScaleYourBusiness #BizHacks,16857
262,account_15,Carousel,07-03-2026,16:06:43,Let's capture the world of health and create unforgettable dreams!,3802,261,278,48034,,#health #influencer,19392
266,account_5,Carousel,18-03-2026,18:12:49,Let's capture the beauty of photography and create unforgettable creations!,2235,82,173,37261,,#photography #influencer,34038
268,account_10,Reel,26-03-2026,11:38:52,Let's celebrate the power of finance and create unforgettable dreams!,6071,136,28,41604,71%,#finance #influencer,40519
270,account_1,Reel,30-03-2026,00:47:21,Breaking down the steps in a machine learning pipeline.,3363,64,255,31785,71%,#MLForEveryone #AIAdvancements,44424
283,account_19,Static_Image,08-05-2026,13:25:20,Let's embrace a journey through adventure and create unforgettable creations!,3493,133,96,47212,,#adventure #influencer,43025
285,account_30,Reel,16-05-2026,17:35:14,Understanding overfitting and underfitting in ML models.,9185,337,142,23623,87%,#MachineLearning #AI,40522
304,account_33,Reel,29-06-2026,00:13:49,Tips for improving model accuracy in machine learning.,1916,31,25,8379,57%,#MachineLearning #AI,34029
305,account_17,Carousel,04-07-2026,02:08:30,Let's enhance hidden gems of interior design and create unforgettable visions!,2626,495,233,41788,,#interiordesign #influencer,33864
306,account_36,Static_Image,05-07-2026,10:45:46,Let's ignite hidden gems of culture and create unforgettable adventures!,3482,333,226,16213,,#culture #influencer,35607
309,account_14,Static_Image,16-07-2026,20:42:57,Yoga for beginners: A step-by-step guide.,4536,306,12,32048,,#MentalHealthMatters #Wellness,43045
310,account_9,Static_Image,21-07-2026,01:59:08,Let's embrace the power of culture and create unforgettable moments!,3887,160,262,29069,,#culture #influencer,43419
314,account_4,Static_Image,06-08-2026,11:33:50,Let's unveil the power of music and create unforgettable visions!,9990,205,256,28252,,#music #influencer,36646
316,account_42,Static_Image,11-08-2026,12:28:02,Let's dive into hidden gems of coding and create unforgettable possibilities!,4556,385,299,15040,,#coding #influencer,38343
317,account_15,Reel,12-08-2026,17:22:45,Let's embrace the beauty of travel and create unforgettable memories!,3189,145,277,32308,70%,#travel #influencer,33773
322,account_7,Reel,25-08-2026,01:38:21,Let's master the beauty of fashion and create unforgettable dreams!,4609,207,97,42324,72%,#fashion #influencer,44126
323,account_19,Carousel,29-08-2026,01:10:39,Let's explore the magic of space exploration and create unforgettable possibilities!,9462,260,97,13187,,#spaceexploration #influencer,46221
333,account_25,Reel,02-10-2026,22:41:33,Let's ignite the power of lifestyle and create unforgettable stories!,2986,241,31,47231,86%,#lifestyle #influencer,48138
338,account_5,Static_Image,15-10-2026,02:15:02,Let's capture hidden gems of entrepreneurship and create unforgettable visions!,8889,259,199,45849,,#entrepreneurship #influencer,54486
347,account_14,Static_Image,08-11-2026,03:12:26,Work-life balance: Is it possible?,3470,307,202,9320,,#LifestyleTips #HealthyHabits,56039
350,account_12,Reel,17-11-2026,15:35:19,Let's capture the world of charity and create unforgettable inspiration!,3141,67,250,19259,84%,#charity #influencer,55008
354,account_41,Reel,25-11-2026,14:52:47,How to create a chatbot using machine learning.,704,472,212,48911,79%,#MLProjects #TechWorld,47705
357,account_6,Static_Image,09-12-2026,16:40:10,Key differences between AI and machine learning.,1215,80,238,1580,,#SupervisedLearning #TechTalk,51923
358,account_36,Static_Image,14-12-2026,13:39:49,Let's dive into a journey through relationships and create unforgettable moments!,6667,120,210,18391,,#relationships #influencer,52650
361,account_5,Static_Image,22-12-2026,14:33:52,The power of unsupervised learning in data exploration.,6585,32,76,8337,,#MLTips #AIForBeginners,47409
362,account_21,Carousel,24-12-2026,02:44:40,Let's transform the magic of diy and create unforgettable memories!,3306,201,25,22544,,#diy #influencer,49771
364,account_18,Reel,29-12-2026,11:41:16,Let's enhance the magic of marketing and create unforgettable creations!,3989,500,75,35738,93%,#marketing #influencer,53696
381,account_36,Carousel,14-02-2027,15:54:17,The difference between parametric and non-parametric models.,572,90,60,12531,,#SupervisedLearning #TechTalk,62828
386,account_47,Static_Image,27-02-2027,00:37:27,Let's dive into the beauty of food and create unforgettable stories!,3518,49,56,46805,,#food #influencer,65201
388,account_9,Reel,05-03-2027,21:20:07,Let's capture the magic of motivation and create unforgettable stories!,5156,480,126,38112,70%,#motivation #influencer,59197
390,account_14,Carousel,09-03-2027,18:50:34,Let's transform the magic of gaming and create unforgettable creations!,7740,419,246,13702,,#gaming #influencer,61539
400,account_7,Static_Image,04-04-2027,10:18:57,Let's explore a journey through science and create unforgettable adventures!,7370,105,38,36625,,#science #influencer,53762
406,account_17,Carousel,22-04-2027,16:45:05,How machine learning is enhancing cybersecurity.,329,286,236,3294,,#MLForEveryone #AIAdvancements,59001
409,account_15,Reel,04-05-2027,05:51:46,The importance of interpretability in machine learning models.,3029,165,30,38141,88%,#MLBasics #TechInnovation,62029
422,account_45,Reel,16-06-2027,02:55:38,Let's enhance the power of culture and create unforgettable dreams!,3222,153,91,25409,83%,#culture #influencer,64789
424,account_39,Reel,23-06-2027,04:49:45,How to handle imbalanced data in machine learning.,8610,454,298,13844,66%,#MLProjects #TechWorld,56970
425,account_4,Static_Image,24-06-2027,21:03:00,Let's ignite the magic of writing and create unforgettable experiences!,8026,353,183,15165,,#writing #influencer,52605
426,account_23,Reel,28-06-2027,03:19:26,Let's enhance the magic of cooking and create unforgettable creations!,9264,405,212,22260,69%,#cooking #influencer,55187
430,account_33,Reel,10-07-2027,19:04:04,Why data quality matters in machine learning.,1228,306,39,45509,64%,#AIRevolution #MLTools,48291
432,account_25,Static_Image,15-07-2027,23:44:55,A quick guide to getting started with coding.,7636,456,76,10663,,#LearnToCode #CodingJourney,50565
433,account_13,Reel,20-07-2027,08:43:34,Let's explore a journey through adventure and create unforgettable dreams!,6155,97,282,37877,66%,#adventure #influencer,51147
435,account_24,Reel,26-07-2027,21:19:17,The role of optimization algorithms in machine learning.,6300,499,261,20428,59%,#MLProjects #TechWorld,41774
436,account_3,Reel,30-07-2027,04:42:58,Let's ignite the magic of sports and create unforgettable adventures!,1187,317,111,26686,77%,#sports #influencer,45067
